Date,Daily_Max_1-hour_NO2_Concentration,UNITS,DAILY_AQI_VALUE,Site_Name,COUNTY
01/01/2020,28.0,ppb,26,Oakland West,Alameda
01/02/2020,34.2,ppb,32,Oakland West,Alameda
01/07/2020,33.8,ppb,31,Oakland West,Alameda
01/08/2020,33.4,ppb,31,Oakland West,Alameda
01/09/2020,27.9,ppb,25,Oakland West,Alameda
01/10/2020,26.3,ppb,25,Oakland West,Alameda
01/11/2020,29.8,ppb,27,Oakland West,Alameda
01/12/2020,27.2,ppb,25,Oakland West,Alameda
01/13/2020,24.3,ppb,23,Oakland West,Alameda
01/14/2020,31.4,ppb,29,Oakland West,Alameda
01/15/2020,28.8,ppb,26,Oakland West,Alameda
01/16/2020,23.3,ppb,22,Oakland West,Alameda
01/17/2020,45.4,ppb,42,Oakland West,Alameda
01/18/2020,15.6,ppb,14,Oakland West,Alameda
01/19/2020,30.5,ppb,28,Oakland West,Alameda
01/20/2020,31.6,ppb,29,Oakland West,Alameda
01/21/2020,25.2,ppb,24,Oakland West,Alameda
01/22/2020,39.7,ppb,37,Oakland West,Alameda
01/23/2020,33.6,ppb,31,Oakland West,Alameda
01/24/2020,27.6,ppb,25,Oakland West,Alameda
01/25/2020,27.7,ppb,25,Oakland West,Alameda
01/26/2020,25.8,ppb,24,Oakland West,Alameda
01/27/2020,26.0,ppb,25,Oakland West,Alameda
01/28/2020,27.6,ppb,25,Oakland West,Alameda
01/29/2020,29.9,ppb,27,Oakland West,Alameda
02/01/2020,25.0,ppb,24,Oakland West,Alameda
02/02/2020,20.0,ppb,19,Oakland West,Alameda
02/03/2020,15.3,ppb,14,Oakland West,Alameda
02/04/2020,37.3,ppb,35,Oakland West,Alameda
02/05/2020,37.5,ppb,35,Oakland West,Alameda
02/06/2020,32.8,ppb,30,Oakland West,Alameda
02/07/2020,32.3,ppb,30,Oakland West,Alameda
02/08/2020,20.8,ppb,19,Oakland West,Alameda
02/09/2020,10.2,ppb,9,Oakland West,Alameda
02/10/2020,36.4,ppb,34,Oakland West,Alameda
02/11/2020,48.0,ppb,45,Oakland West,Alameda
02/12/2020,33.9,ppb,31,Oakland West,Alameda
02/13/2020,27.1,ppb,25,Oakland West,Alameda
02/14/2020,26.6,ppb,25,Oakland West,Alameda
02/15/2020,30.1,ppb,28,Oakland West,Alameda
02/16/2020,23.8,ppb,22,Oakland West,Alameda
02/17/2020,29.8,ppb,27,Oakland West,Alameda
02/18/2020,36.2,ppb,34,Oakland West,Alameda
02/19/2020,29.2,ppb,27,Oakland West,Alameda
02/20/2020,32.9,ppb,30,Oakland West,Alameda
02/21/2020,41.0,ppb,39,Oakland West,Alameda
02/22/2020,29.2,ppb,27,Oakland West,Alameda
02/23/2020,14.7,ppb,13,Oakland West,Alameda
02/24/2020,28.9,ppb,26,Oakland West,Alameda
02/25/2020,33.2,ppb,31,Oakland West,Alameda
02/26/2020,32.2,ppb,30,Oakland West,Alameda
02/27/2020,34.5,ppb,32,Oakland West,Alameda
02/28/2020,29.9,ppb,27,Oakland West,Alameda
02/29/2020,21.2,ppb,20,Oakland West,Alameda
03/01/2020,19.2,ppb,18,Oakland West,Alameda
03/02/2020,17.0,ppb,16,Oakland West,Alameda
03/03/2020,39.7,ppb,37,Oakland West,Alameda
03/04/2020,26.1,ppb,25,Oakland West,Alameda
03/05/2020,19.4,ppb,18,Oakland West,Alameda
03/06/2020,9.0,ppb,8,Oakland West,Alameda
03/07/2020,7.8,ppb,7,Oakland West,Alameda
03/08/2020,20.7,ppb,19,Oakland West,Alameda
03/09/2020,34.0,ppb,32,Oakland West,Alameda
03/10/2020,29.8,ppb,27,Oakland West,Alameda
03/11/2020,37.7,ppb,35,Oakland West,Alameda
03/12/2020,25.5,ppb,24,Oakland West,Alameda
03/13/2020,23.9,ppb,22,Oakland West,Alameda
03/14/2020,12.5,ppb,11,Oakland West,Alameda
03/15/2020,11.4,ppb,10,Oakland West,Alameda
03/16/2020,13.4,ppb,12,Oakland West,Alameda
03/17/2020,21.4,ppb,20,Oakland West,Alameda
03/18/2020,23.4,ppb,22,Oakland West,Alameda
03/19/2020,25.8,ppb,24,Oakland West,Alameda
03/20/2020,27.2,ppb,25,Oakland West,Alameda
03/21/2020,27.7,ppb,25,Oakland West,Alameda
03/22/2020,26.6,ppb,25,Oakland West,Alameda
03/23/2020,14.9,ppb,13,Oakland West,Alameda
03/24/2020,21.8,ppb,20,Oakland West,Alameda
03/25/2020,28.0,ppb,26,Oakland West,Alameda
03/26/2020,27.7,ppb,25,Oakland West,Alameda
03/27/2020,32.5,ppb,30,Oakland West,Alameda
03/28/2020,9.7,ppb,8,Oakland West,Alameda
03/29/2020,8.4,ppb,8,Oakland West,Alameda
03/30/2020,13.0,ppb,12,Oakland West,Alameda
03/31/2020,19.5,ppb,18,Oakland West,Alameda
04/01/2020,6.7,ppb,6,Oakland West,Alameda
04/02/2020,18.9,ppb,17,Oakland West,Alameda
04/03/2020,24.6,ppb,23,Oakland West,Alameda
04/04/2020,13.4,ppb,12,Oakland West,Alameda
04/05/2020,11.0,ppb,10,Oakland West,Alameda
04/06/2020,27.9,ppb,25,Oakland West,Alameda
04/07/2020,23.8,ppb,22,Oakland West,Alameda
04/08/2020,19.7,ppb,18,Oakland West,Alameda
04/09/2020,13.4,ppb,12,Oakland West,Alameda
04/10/2020,11.2,ppb,10,Oakland West,Alameda
04/11/2020,10.4,ppb,9,Oakland West,Alameda
04/12/2020,6.2,ppb,6,Oakland West,Alameda
04/13/2020,10.4,ppb,9,Oakland West,Alameda
04/14/2020,27.8,ppb,25,Oakland West,Alameda
04/15/2020,26.1,ppb,25,Oakland West,Alameda
04/16/2020,7.0,ppb,7,Oakland West,Alameda
04/17/2020,9.4,ppb,8,Oakland West,Alameda
04/18/2020,4.1,ppb,4,Oakland West,Alameda
04/19/2020,11.8,ppb,10,Oakland West,Alameda
04/20/2020,8.1,ppb,8,Oakland West,Alameda
04/21/2020,17.1,ppb,16,Oakland West,Alameda
04/22/2020,11.3,ppb,10,Oakland West,Alameda
04/23/2020,22.5,ppb,21,Oakland West,Alameda
04/24/2020,20.1,ppb,19,Oakland West,Alameda
04/25/2020,18.5,ppb,17,Oakland West,Alameda
04/26/2020,19.5,ppb,18,Oakland West,Alameda
04/27/2020,25.6,ppb,24,Oakland West,Alameda
04/28/2020,15.3,ppb,14,Oakland West,Alameda
04/29/2020,9.8,ppb,8,Oakland West,Alameda
04/30/2020,24.5,ppb,23,Oakland West,Alameda
05/01/2020,12.0,ppb,11,Oakland West,Alameda
05/05/2020,18.8,ppb,17,Oakland West,Alameda
05/06/2020,21.7,ppb,20,Oakland West,Alameda
05/07/2020,29.7,ppb,27,Oakland West,Alameda
05/08/2020,19.7,ppb,18,Oakland West,Alameda
05/09/2020,10.0,ppb,9,Oakland West,Alameda
05/10/2020,7.7,ppb,7,Oakland West,Alameda
05/11/2020,14.7,ppb,13,Oakland West,Alameda
05/12/2020,16.8,ppb,15,Oakland West,Alameda
05/13/2020,13.8,ppb,12,Oakland West,Alameda
05/14/2020,16.7,ppb,15,Oakland West,Alameda
05/15/2020,31.7,ppb,29,Oakland West,Alameda
05/16/2020,8.8,ppb,8,Oakland West,Alameda
05/17/2020,9.1,ppb,8,Oakland West,Alameda
05/18/2020,11.7,ppb,10,Oakland West,Alameda
05/19/2020,9.8,ppb,8,Oakland West,Alameda
05/20/2020,25.6,ppb,24,Oakland West,Alameda
