Date,Daily_Mean_PM2.5_Concentration,UNITS,DAILY_AQI_VALUE,Site_Name
04/22/2020,5.5,ug/m3 LC,23,San Francisco
04/23/2020,4.2,ug/m3 LC,18,San Francisco
04/24/2020,9.5,ug/m3 LC,40,San Francisco
04/25/2020,6.5,ug/m3 LC,27,San Francisco
04/26/2020,4.4,ug/m3 LC,18,San Francisco
04/27/2020,6.1,ug/m3 LC,25,San Francisco
04/28/2020,3.7,ug/m3 LC,15,San Francisco
04/29/2020,2.7,ug/m3 LC,11,San Francisco
04/30/2020,5.3,ug/m3 LC,22,San Francisco
05/01/2020,5.7,ug/m3 LC,24,San Francisco
05/02/2020,1.6,ug/m3 LC,7,San Francisco
05/03/2020,5.0,ug/m3 LC,21,San Francisco
05/04/2020,7.1,ug/m3 LC,30,San Francisco
05/05/2020,4.7,ug/m3 LC,20,San Francisco
05/06/2020,9.5,ug/m3 LC,40,San Francisco
05/07/2020,15.0,ug/m3 LC,57,San Francisco
05/08/2020,12.8,ug/m3 LC,52,San Francisco
05/09/2020,8.5,ug/m3 LC,35,San Francisco
05/10/2020,7.3,ug/m3 LC,30,San Francisco
05/11/2020,4.3,ug/m3 LC,18,San Francisco
05/12/2020,4.5,ug/m3 LC,19,San Francisco
05/13/2020,5.3,ug/m3 LC,22,San Francisco
05/14/2020,3.3,ug/m3 LC,14,San Francisco
05/15/2020,3.1,ug/m3 LC,13,San Francisco
05/16/2020,1.7,ug/m3 LC,7,San Francisco
05/17/2020,4.4,ug/m3 LC,18,San Francisco
05/18/2020,3.6,ug/m3 LC,15,San Francisco
05/19/2020,4.9,ug/m3 LC,20,San Francisco
05/20/2020,6.8,ug/m3 LC,28,San Francisco
05/21/2020,8.7,ug/m3 LC,36,San Francisco
05/22/2020,8.3,ug/m3 LC,35,San Francisco
05/23/2020,10.6,ug/m3 LC,44,San Francisco
05/24/2020,12.2,ug/m3 LC,51,San Francisco
05/25/2020,12.1,ug/m3 LC,51,San Francisco
05/26/2020,12.1,ug/m3 LC,51,San Francisco
05/27/2020,10.9,ug/m3 LC,45,San Francisco
05/28/2020,3.8,ug/m3 LC,16,San Francisco
05/29/2020,2.9,ug/m3 LC,12,San Francisco
05/30/2020,3.7,ug/m3 LC,15,San Francisco
05/31/2020,3.8,ug/m3 LC,16,San Francisco
06/01/2020,8.5,ug/m3 LC,35,San Francisco
06/02/2020,13.0,ug/m3 LC,53,San Francisco
06/03/2020,15.2,ug/m3 LC,58,San Francisco
06/04/2020,18.0,ug/m3 LC,63,San Francisco
06/05/2020,9.0,ug/m3 LC,38,San Francisco
06/06/2020,4.8,ug/m3 LC,20,San Francisco
06/07/2020,5.4,ug/m3 LC,23,San Francisco
06/08/2020,5.9,ug/m3 LC,25,San Francisco
06/09/2020,7.8,ug/m3 LC,33,San Francisco
06/10/2020,4.6,ug/m3 LC,19,San Francisco
06/11/2020,4.7,ug/m3 LC,20,San Francisco
06/12/2020,5.2,ug/m3 LC,22,San Francisco
06/13/2020,4.1,ug/m3 LC,17,San Francisco
06/14/2020,2.0,ug/m3 LC,8,San Francisco
06/15/2020,5.2,ug/m3 LC,22,San Francisco
06/16/2020,7.9,ug/m3 LC,33,San Francisco
