Date,Daily_Max_1-hour_NO2_Concentration,UNITS,DAILY_AQI_VALUE,Site_Name,COUNTY
04/23/2019,32.6,ppb,30,Oakland West,Alameda
04/24/2019,20.7,ppb,19,Oakland West,Alameda
04/25/2019,17.8,ppb,16,Oakland West,Alameda
04/26/2019,14.2,ppb,13,Oakland West,Alameda
04/30/2019,13.1,ppb,12,Oakland West,Alameda
05/01/2019,29.6,ppb,27,Oakland West,Alameda
05/04/2019,7.0,ppb,7,Oakland West,Alameda
05/05/2019,5.3,ppb,5,Oakland West,Alameda
05/06/2019,9.2,ppb,8,Oakland West,Alameda
05/07/2019,6.8,ppb,6,Oakland West,Alameda
05/08/2019,15.4,ppb,14,Oakland West,Alameda
05/09/2019,8.6,ppb,8,Oakland West,Alameda
05/10/2019,11.1,ppb,10,Oakland West,Alameda
05/11/2019,14.1,ppb,13,Oakland West,Alameda
05/12/2019,10.0,ppb,9,Oakland West,Alameda
05/13/2019,14.8,ppb,13,Oakland West,Alameda
05/14/2019,9.8,ppb,8,Oakland West,Alameda
05/15/2019,18.0,ppb,17,Oakland West,Alameda
05/16/2019,9.2,ppb,8,Oakland West,Alameda
05/17/2019,10.9,ppb,9,Oakland West,Alameda
05/18/2019,16.6,ppb,15,Oakland West,Alameda
05/19/2019,10.7,ppb,9,Oakland West,Alameda
05/20/2019,21.7,ppb,20,Oakland West,Alameda
05/21/2019,16.2,ppb,15,Oakland West,Alameda
05/22/2019,16.3,ppb,15,Oakland West,Alameda
05/23/2019,8.6,ppb,8,Oakland West,Alameda
05/24/2019,7.9,ppb,7,Oakland West,Alameda
05/25/2019,10.0,ppb,9,Oakland West,Alameda
05/26/2019,6.6,ppb,6,Oakland West,Alameda
05/27/2019,9.1,ppb,8,Oakland West,Alameda
05/28/2019,9.7,ppb,8,Oakland West,Alameda
05/29/2019,17.3,ppb,16,Oakland West,Alameda
05/30/2019,9.2,ppb,8,Oakland West,Alameda
05/31/2019,12.1,ppb,11,Oakland West,Alameda
06/01/2019,9.6,ppb,8,Oakland West,Alameda
06/02/2019,7.1,ppb,7,Oakland West,Alameda
06/03/2019,16.4,ppb,15,Oakland West,Alameda
06/04/2019,26.7,ppb,25,Oakland West,Alameda
06/05/2019,26.9,ppb,25,Oakland West,Alameda
06/06/2019,12.8,ppb,11,Oakland West,Alameda
06/07/2019,12.5,ppb,11,Oakland West,Alameda
06/08/2019,20.5,ppb,19,Oakland West,Alameda
06/09/2019,29.4,ppb,27,Oakland West,Alameda
06/10/2019,30.0,ppb,28,Oakland West,Alameda
06/11/2019,36.7,ppb,34,Oakland West,Alameda
06/12/2019,18.7,ppb,17,Oakland West,Alameda
06/13/2019,6.2,ppb,6,Oakland West,Alameda
06/14/2019,5.2,ppb,5,Oakland West,Alameda
06/15/2019,4.5,ppb,4,Oakland West,Alameda
06/16/2019,7.4,ppb,7,Oakland West,Alameda
06/17/2019,13.6,ppb,12,Oakland West,Alameda
06/18/2019,16.2,ppb,15,Oakland West,Alameda
06/19/2019,13.8,ppb,12,Oakland West,Alameda
06/20/2019,12.4,ppb,11,Oakland West,Alameda
06/21/2019,18.1,ppb,17,Oakland West,Alameda
06/22/2019,13.5,ppb,12,Oakland West,Alameda
06/23/2019,8.8,ppb,8,Oakland West,Alameda
06/24/2019,11.1,ppb,10,Oakland West,Alameda
06/25/2019,19.8,ppb,18,Oakland West,Alameda
06/26/2019,12.4,ppb,11,Oakland West,Alameda
06/27/2019,12.2,ppb,11,Oakland West,Alameda
06/28/2019,16.5,ppb,15,Oakland West,Alameda
06/29/2019,14.9,ppb,13,Oakland West,Alameda
06/30/2019,12.3,ppb,11,Oakland West,Alameda
07/01/2019,10.2,ppb,9,Oakland West,Alameda
07/02/2019,11.1,ppb,10,Oakland West,Alameda
07/03/2019,9.7,ppb,8,Oakland West,Alameda
07/04/2019,8.5,ppb,8,Oakland West,Alameda
07/05/2019,8.1,ppb,8,Oakland West,Alameda
07/06/2019,7.7,ppb,7,Oakland West,Alameda
07/07/2019,6.9,ppb,6,Oakland West,Alameda
07/08/2019,11.3,ppb,10,Oakland West,Alameda
07/09/2019,9.4,ppb,8,Oakland West,Alameda
07/10/2019,14.4,ppb,13,Oakland West,Alameda
07/11/2019,14.5,ppb,13,Oakland West,Alameda
