Date,Daily_Mean_PM2.5_Concentration,UNITS,DAILY_AQI_VALUE,Site_Name,COUNTY
01/01/2019,6.2,ug/m3 LC,26,Oakland West,Alameda
01/02/2019,9.7,ug/m3 LC,40,Oakland West,Alameda
01/03/2019,19.6,ug/m3 LC,67,Oakland West,Alameda
01/04/2019,29.3,ug/m3 LC,87,Oakland West,Alameda
01/05/2019,3.5,ug/m3 LC,15,Oakland West,Alameda
01/06/2019,4.4,ug/m3 LC,18,Oakland West,Alameda
01/07/2019,5.7,ug/m3 LC,24,Oakland West,Alameda
01/08/2019,6.1,ug/m3 LC,25,Oakland West,Alameda
01/09/2019,5.6,ug/m3 LC,23,Oakland West,Alameda
01/10/2019,13.8,ug/m3 LC,55,Oakland West,Alameda
01/11/2019,9.2,ug/m3 LC,38,Oakland West,Alameda
01/12/2019,7.2,ug/m3 LC,30,Oakland West,Alameda
01/13/2019,8.9,ug/m3 LC,37,Oakland West,Alameda
01/14/2019,6.0,ug/m3 LC,25,Oakland West,Alameda
01/15/2019,3.5,ug/m3 LC,15,Oakland West,Alameda
01/16/2019,3.0,ug/m3 LC,13,Oakland West,Alameda
01/17/2019,10.8,ug/m3 LC,45,Oakland West,Alameda
01/18/2019,10.6,ug/m3 LC,44,Oakland West,Alameda
01/19/2019,12.2,ug/m3 LC,51,Oakland West,Alameda
01/20/2019,5.5,ug/m3 LC,23,Oakland West,Alameda
01/21/2019,2.5,ug/m3 LC,10,Oakland West,Alameda
01/22/2019,5.4,ug/m3 LC,23,Oakland West,Alameda
01/23/2019,9.4,ug/m3 LC,39,Oakland West,Alameda
01/24/2019,13.7,ug/m3 LC,54,Oakland West,Alameda
01/25/2019,14.0,ug/m3 LC,55,Oakland West,Alameda
01/26/2019,15.2,ug/m3 LC,58,Oakland West,Alameda
01/27/2019,20.5,ug/m3 LC,69,Oakland West,Alameda
01/28/2019,10.1,ug/m3 LC,42,Oakland West,Alameda
01/29/2019,7.6,ug/m3 LC,32,Oakland West,Alameda
01/30/2019,10.2,ug/m3 LC,43,Oakland West,Alameda
01/31/2019,11.1,ug/m3 LC,46,Oakland West,Alameda
02/01/2019,2.0,ug/m3 LC,8,Oakland West,Alameda
02/02/2019,2.2,ug/m3 LC,9,Oakland West,Alameda
02/03/2019,1.8,ug/m3 LC,8,Oakland West,Alameda
02/04/2019,2.3,ug/m3 LC,10,Oakland West,Alameda
02/05/2019,3.7,ug/m3 LC,15,Oakland West,Alameda
02/06/2019,6.8,ug/m3 LC,28,Oakland West,Alameda
02/07/2019,9.8,ug/m3 LC,41,Oakland West,Alameda
02/08/2019,7.1,ug/m3 LC,30,Oakland West,Alameda
02/09/2019,4.9,ug/m3 LC,20,Oakland West,Alameda
02/10/2019,3.8,ug/m3 LC,16,Oakland West,Alameda
02/11/2019,4.9,ug/m3 LC,20,Oakland West,Alameda
02/12/2019,7.3,ug/m3 LC,30,Oakland West,Alameda
02/13/2019,2.6,ug/m3 LC,11,Oakland West,Alameda
02/14/2019,3.8,ug/m3 LC,16,Oakland West,Alameda
02/15/2019,4.7,ug/m3 LC,20,Oakland West,Alameda
02/16/2019,4.6,ug/m3 LC,19,Oakland West,Alameda
02/17/2019,3.0,ug/m3 LC,13,Oakland West,Alameda
02/18/2019,4.9,ug/m3 LC,20,Oakland West,Alameda
02/19/2019,4.4,ug/m3 LC,18,Oakland West,Alameda
02/20/2019,2.2,ug/m3 LC,9,Oakland West,Alameda
