"Date","Source","Site ID","POC","Daily Mean PM10 Concentration","UNITS","DAILY_AQI_VALUE","Site Name","DAILY_OBS_COUNT","PERCENT_COMPLETE","AQS_PARAMETER_CODE","AQS_PARAMETER_DESC","CBSA_CODE","CBSA_NAME","STATE_CODE","STATE","COUNTY_CODE","COUNTY","SITE_LATITUDE","SITE_LONGITUDE"
"01/01/2016","AQS","060130002","1","9","ug/m3 SC","8","Concord","1","100.0000","81102","PM10 Total 0-10um STP","41860","San Francisco-Oakland-Hayward, CA","06","California","013","Contra Costa","37.936013","-122.026154"
"01/13/2016","AQS","060130002","1","14","ug/m3 SC","13","Concord","1","100.0000","81102","PM10 Total 0-10um STP","41860","San Francisco-Oakland-Hayward, CA","06","California","013","Contra Costa","37.936013","-122.026154"
"01/25/2016","AQS","060130002","1","7","ug/m3 SC","6","Concord","1","100.0000","81102","PM10 Total 0-10um STP","41860","San Francisco-Oakland-Hayward, CA","06","California","013","Contra Costa","37.936013","-122.026154"
"02/06/2016","AQS","060130002","1","12","ug/m3 SC","11","Concord","1","100.0000","81102","PM10 Total 0-10um STP","41860","San Francisco-Oakland-Hayward, CA","06","California","013","Contra Costa","37.936013","-122.026154"
"02/18/2016","AQS","060130002","1","12","ug/m3 SC","11","Concord","1","100.0000","81102","PM10 Total 0-10um STP","41860","San Francisco-Oakland-Hayward, CA","06","California","013","Contra Costa","37.936013","-122.026154"
"03/01/2016","AQS","060130002","1","7","ug/m3 SC","6","Concord","1","100.0000","81102","PM10 Total 0-10um STP","41860","San Francisco-Oakland-Hayward, CA","06","California","013","Contra Costa","37.936013","-122.026154"
"03/13/2016","AQS","060130002","1","5","ug/m3 SC","5","Concord","1","100.0000","81102","PM10 Total 0-10um STP","41860","San Francisco-Oakland-Hayward, CA","06","California","013","Contra Costa","37.936013","-122.026154"
"03/25/2016","AQS","060130002","1","13","ug/m3 SC","12","Concord","1","100.0000","81102","PM10 Total 0-10um STP","41860","San Francisco-Oakland-Hayward, CA","06","California","013","Contra Costa","37.936013","-122.026154"
"04/06/2016","AQS","060130002","1","18","ug/m3 SC","17","Concord","1","100.0000","81102","PM10 Total 0-10um STP","41860","San Francisco-Oakland-Hayward, CA","06","California","013","Contra Costa","37.936013","-122.026154"
"04/18/2016","AQS","060130002","1","12","ug/m3 SC","11","Concord","1","100.0000","81102","PM10 Total 0-10um STP","41860","San Francisco-Oakland-Hayward, CA","06","California","013","Contra Costa","37.936013","-122.026154"
"04/30/2016","AQS","060130002","1","15","ug/m3 SC","14","Concord","1","100.0000","81102","PM10 Total 0-10um STP","41860","San Francisco-Oakland-Hayward, CA","06","California","013","Contra Costa","37.936013","-122.026154"
"05/12/2016","AQS","060130002","1","15","ug/m3 SC","14","Concord","1","100.0000","81102","PM10 Total 0-10um STP","41860","San Francisco-Oakland-Hayward, CA","06","California","013","Contra Costa","37.936013","-122.026154"
"05/24/2016","AQS","060130002","1","4","ug/m3 SC","4","Concord","1","100.0000","81102","PM10 Total 0-10um STP","41860","San Francisco-Oakland-Hayward, CA","06","California","013","Contra Costa","37.936013","-122.026154"
"06/05/2016","AQS","060130002","1","8","ug/m3 SC","7","Concord","1","100.0000","81102","PM10 Total 0-10um STP","41860","San Francisco-Oakland-Hayward, CA","06","California","013","Contra Costa","37.936013","-122.026154"
"06/17/2016","AQS","060130002","1","4","ug/m3 SC","4","Concord","1","100.0000","81102","PM10 Total 0-10um STP","41860","San Francisco-Oakland-Hayward, CA","06","California","013","Contra Costa","37.936013","-122.026154"
"06/29/2016","AQS","060130002","1","18","ug/m3 SC","17","Concord","1","100.0000","81102","PM10 Total 0-10um STP","41860","San Francisco-Oakland-Hayward, CA","06","California","013","Contra Costa","37.936013","-122.026154"
"07/11/2016","AQS","060130002","1","11","ug/m3 SC","10","Concord","1","100.0000","81102","PM10 Total 0-10um STP","41860","San Francisco-Oakland-Hayward, CA","06","California","013","Contra Costa","37.936013","-122.026154"
"07/23/2016","AQS","060130002","1","14","ug/m3 SC","13","Concord","1","100.0000","81102","PM10 Total 0-10um STP","41860","San Francisco-Oakland-Hayward, CA","06","California","013","Contra Costa","37.936013","-122.026154"
"08/04/2016","AQS","060130002","1","9","ug/m3 SC","8","Concord","1","100.0000","81102","PM10 Total 0-10um STP","41860","San Francisco-Oakland-Hayward, CA","06","California","013","Contra Costa","37.936013","-122.026154"
"08/16/2016","AQS","060130002","1","10","ug/m3 SC","9","Concord","1","100.0000","81102","PM10 Total 0-10um STP","41860","San Francisco-Oakland-Hayward, CA","06","California","013","Contra Costa","37.936013","-122.026154"
"08/28/2016","AQS","060130002","1","10","ug/m3 SC","9","Concord","1","100.0000","81102","PM10 Total 0-10um STP","41860","San Francisco-Oakland-Hayward, CA","06","California","013","Contra Costa","37.936013","-122.026154"
"09/09/2016","AQS","060130002","1","16","ug/m3 SC","15","Concord","1","100.0000","81102","PM10 Total 0-10um STP","41860","San Francisco-Oakland-Hayward, CA","06","California","013","Contra Costa","37.936013","-122.026154"
"09/21/2016","AQS","060130002","1","15","ug/m3 SC","14","Concord","1","100.0000","81102","PM10 Total 0-10um STP","41860","San Francisco-Oakland-Hayward, CA","06","California","013","Contra Costa","37.936013","-122.026154"
"10/03/2016","AQS","060130002","1","10","ug/m3 SC","9","Concord","1","100.0000","81102","PM10 Total 0-10um STP","41860","San Francisco-Oakland-Hayward, CA","06","California","013","Contra Costa","37.936013","-122.026154"
"10/15/2016","AQS","060130002","1","6","ug/m3 SC","6","Concord","1","100.0000","81102","PM10 Total 0-10um STP","41860","San Francisco-Oakland-Hayward, CA","06","California","013","Contra Costa","37.936013","-122.026154"
"10/27/2016","AQS","060130002","1","8","ug/m3 SC","7","Concord","1","100.0000","81102","PM10 Total 0-10um STP","41860","San Francisco-Oakland-Hayward, CA","06","California","013","Contra Costa","37.936013","-122.026154"
