Date,Daily Max 1-hour SO2 Concentration,UNITS,DAILY_AQI_VALUE,Site_Name,COUNTY
01/01/2018,1.8,ppb,1,Oakland West,Alameda
01/02/2018,2.9,ppb,3,Oakland West,Alameda
01/03/2018,1.4,ppb,1,Oakland West,Alameda
01/04/2018,1.0,ppb,1,Oakland West,Alameda
01/05/2018,0.2,ppb,0,Oakland West,Alameda
01/06/2018,0.9,ppb,0,Oakland West,Alameda
01/07/2018,1.5,ppb,1,Oakland West,Alameda
01/08/2018,0.8,ppb,0,Oakland West,Alameda
01/09/2018,0.4,ppb,0,Oakland West,Alameda
01/10/2018,0.7,ppb,0,Oakland West,Alameda
01/12/2018,2.9,ppb,3,Oakland West,Alameda
01/13/2018,1.5,ppb,1,Oakland West,Alameda
01/14/2018,1.3,ppb,1,Oakland West,Alameda
01/15/2018,2.2,ppb,3,Oakland West,Alameda
01/18/2018,1.0,ppb,1,Oakland West,Alameda
01/19/2018,0.7,ppb,0,Oakland West,Alameda
01/20/2018,1.1,ppb,1,Oakland West,Alameda
01/21/2018,0.7,ppb,0,Oakland West,Alameda
01/22/2018,0.5,ppb,0,Oakland West,Alameda
01/23/2018,2.0,ppb,3,Oakland West,Alameda
01/24/2018,1.8,ppb,1,Oakland West,Alameda
01/25/2018,1.4,ppb,1,Oakland West,Alameda
01/26/2018,2.3,ppb,3,Oakland West,Alameda
01/27/2018,1.0,ppb,1,Oakland West,Alameda
01/28/2018,1.5,ppb,1,Oakland West,Alameda
01/29/2018,6.5,ppb,9,Oakland West,Alameda
01/30/2018,3.6,ppb,4,Oakland West,Alameda
01/31/2018,3.9,ppb,4,Oakland West,Alameda
02/01/2018,3.3,ppb,4,Oakland West,Alameda
02/02/2018,1.3,ppb,1,Oakland West,Alameda
02/03/2018,1.9,ppb,1,Oakland West,Alameda
02/04/2018,1.7,ppb,1,Oakland West,Alameda
02/05/2018,2.3,ppb,3,Oakland West,Alameda
02/06/2018,2.9,ppb,3,Oakland West,Alameda
02/07/2018,1.8,ppb,1,Oakland West,Alameda
02/08/2018,4.9,ppb,6,Oakland West,Alameda
02/09/2018,2.7,ppb,3,Oakland West,Alameda
02/10/2018,0.8,ppb,0,Oakland West,Alameda
02/11/2018,0.8,ppb,0,Oakland West,Alameda
02/12/2018,0.3,ppb,0,Oakland West,Alameda
02/13/2018,1.3,ppb,1,Oakland West,Alameda
