Date,Daily_Max_1-hour_NO2_Concentration,UNITS,DAILY_AQI_VALUE,Site_Name,COUNTY
01/01/2018,30.5,ppb,28,Oakland West,Alameda
01/02/2018,48.8,ppb,45,Oakland West,Alameda
01/03/2018,48.4,ppb,45,Oakland West,Alameda
01/04/2018,29.6,ppb,27,Oakland West,Alameda
01/05/2018,28.4,ppb,26,Oakland West,Alameda
01/06/2018,28.9,ppb,26,Oakland West,Alameda
01/07/2018,23.0,ppb,22,Oakland West,Alameda
01/08/2018,31.7,ppb,29,Oakland West,Alameda
01/09/2018,21.0,ppb,20,Oakland West,Alameda
01/10/2018,36.5,ppb,34,Oakland West,Alameda
01/11/2018,33.1,ppb,31,Oakland West,Alameda
01/12/2018,27.8,ppb,25,Oakland West,Alameda
01/13/2018,23.8,ppb,22,Oakland West,Alameda
01/14/2018,23.0,ppb,22,Oakland West,Alameda
01/15/2018,20.8,ppb,19,Oakland West,Alameda
01/18/2018,22.6,ppb,21,Oakland West,Alameda
01/19/2018,33.4,ppb,31,Oakland West,Alameda
01/20/2018,27.8,ppb,25,Oakland West,Alameda
01/21/2018,25.0,ppb,24,Oakland West,Alameda
01/22/2018,20.8,ppb,19,Oakland West,Alameda
01/23/2018,30.8,ppb,28,Oakland West,Alameda
01/24/2018,27.9,ppb,25,Oakland West,Alameda
01/25/2018,36.6,ppb,34,Oakland West,Alameda
01/26/2018,30.9,ppb,28,Oakland West,Alameda
01/27/2018,29.7,ppb,27,Oakland West,Alameda
01/28/2018,26.3,ppb,25,Oakland West,Alameda
01/29/2018,38.3,ppb,36,Oakland West,Alameda
01/30/2018,35.0,ppb,33,Oakland West,Alameda
01/31/2018,37.8,ppb,35,Oakland West,Alameda
02/01/2018,38.4,ppb,36,Oakland West,Alameda
02/02/2018,35.5,ppb,33,Oakland West,Alameda
02/03/2018,34.5,ppb,32,Oakland West,Alameda
02/04/2018,31.2,ppb,29,Oakland West,Alameda
02/05/2018,36.4,ppb,34,Oakland West,Alameda
02/06/2018,45.2,ppb,42,Oakland West,Alameda
02/07/2018,46.9,ppb,43,Oakland West,Alameda
02/08/2018,45.7,ppb,42,Oakland West,Alameda
02/09/2018,27.5,ppb,25,Oakland West,Alameda
02/10/2018,24.1,ppb,23,Oakland West,Alameda
02/11/2018,31.7,ppb,29,Oakland West,Alameda
02/12/2018,30.4,ppb,28,Oakland West,Alameda
02/13/2018,41.7,ppb,39,Oakland West,Alameda
02/14/2018,41.6,ppb,39,Oakland West,Alameda
02/15/2018,36.2,ppb,34,Oakland West,Alameda
02/16/2018,36.1,ppb,34,Oakland West,Alameda
02/17/2018,32.6,ppb,30,Oakland West,Alameda
02/18/2018,10.0,ppb,9,Oakland West,Alameda
02/19/2018,8.3,ppb,8,Oakland West,Alameda
02/20/2018,32.6,ppb,30,Oakland West,Alameda
02/21/2018,29.9,ppb,27,Oakland West,Alameda
02/22/2018,30.6,ppb,28,Oakland West,Alameda
02/23/2018,36.3,ppb,34,Oakland West,Alameda
02/24/2018,33.9,ppb,31,Oakland West,Alameda
02/25/2018,22.4,ppb,21,Oakland West,Alameda
02/26/2018,17.0,ppb,16,Oakland West,Alameda
02/27/2018,38.6,ppb,36,Oakland West,Alameda
02/28/2018,29.8,ppb,27,Oakland West,Alameda
03/01/2018,14.1,ppb,13,Oakland West,Alameda
03/02/2018,28.6,ppb,26,Oakland West,Alameda
03/03/2018,28.6,ppb,26,Oakland West,Alameda
03/04/2018,22.3,ppb,21,Oakland West,Alameda
03/05/2018,32.2,ppb,30,Oakland West,Alameda
03/06/2018,44.3,ppb,42,Oakland West,Alameda
03/07/2018,33.2,ppb,31,Oakland West,Alameda
03/08/2018,25.5,ppb,24,Oakland West,Alameda
03/09/2018,20.0,ppb,19,Oakland West,Alameda
03/10/2018,24.3,ppb,23,Oakland West,Alameda
