Date,Daily_Mean_PM10_Concentration,UNITS,DAILY_AQI_VALUE,Site_Name
01/16/2020,9,ug/m3 SC,8,San Francisco
01/28/2020,20,ug/m3 SC,19,San Francisco
02/09/2020,17,ug/m3 SC,16,San Francisco
02/21/2020,29,ug/m3 SC,27,San Francisco
03/04/2020,30,ug/m3 SC,28,San Francisco
03/16/2020,4,ug/m3 SC,4,San Francisco
03/28/2020,15,ug/m3 SC,14,San Francisco
04/09/2020,8,ug/m3 SC,7,San Francisco
04/21/2020,22,ug/m3 SC,20,San Francisco
05/03/2020,15,ug/m3 SC,14,San Francisco
05/15/2020,11,ug/m3 SC,10,San Francisco
05/27/2020,25,ug/m3 SC,23,San Francisco
06/08/2020,19,ug/m3 SC,18,San Francisco
06/20/2020,7,ug/m3 SC,6,San Francisco
07/02/2020,23,ug/m3 SC,21,San Francisco
07/14/2020,21,ug/m3 SC,19,San Francisco
07/26/2020,10,ug/m3 SC,9,San Francisco
08/07/2020,26,ug/m3 SC,24,San Francisco
08/19/2020,58,ug/m3 SC,52,San Francisco
08/31/2020,30,ug/m3 SC,28,San Francisco
09/12/2020,102,ug/m3 SC,74,San Francisco
09/24/2020,13,ug/m3 SC,12,San Francisco
10/06/2020,21,ug/m3 SC,19,San Francisco
10/18/2020,29,ug/m3 SC,27,San Francisco
10/30/2020,25,ug/m3 SC,23,San Francisco
11/11/2020,13,ug/m3 SC,12,San Francisco
11/23/2020,12,ug/m3 SC,11,San Francisco
12/05/2020,31,ug/m3 SC,29,San Francisco
12/17/2020,14,ug/m3 SC,13,San Francisco
12/29/2020,19,ug/m3 SC,18,San Francisco
