Date,Daily_Max_1-hr_NO2_Concentration,UNITS,DAILY_AQI_VALUE,Site_Name
01/01/2017,11.3,ppb,10,San Francisco
01/02/2017,34.0,ppb,32,San Francisco
01/03/2017,18.1,ppb,17,San Francisco
01/04/2017,18.5,ppb,17,San Francisco
01/05/2017,33.3,ppb,31,San Francisco
01/06/2017,28.8,ppb,26,San Francisco
01/07/2017,22.7,ppb,21,San Francisco
01/08/2017,5.4,ppb,5,San Francisco
01/09/2017,17.1,ppb,16,San Francisco
01/10/2017,13.8,ppb,12,San Francisco
01/11/2017,27.1,ppb,25,San Francisco
01/12/2017,30.9,ppb,28,San Francisco
01/13/2017,29.2,ppb,27,San Francisco
01/14/2017,25.8,ppb,24,San Francisco
01/15/2017,28.2,ppb,26,San Francisco
01/16/2017,26.3,ppb,25,San Francisco
01/17/2017,35.2,ppb,33,San Francisco
01/18/2017,29.4,ppb,27,San Francisco
01/19/2017,15.3,ppb,14,San Francisco
01/20/2017,36.1,ppb,34,San Francisco
01/21/2017,7.0,ppb,7,San Francisco
01/22/2017,16.1,ppb,15,San Francisco
01/23/2017,38.2,ppb,36,San Francisco
01/24/2017,36.3,ppb,34,San Francisco
01/25/2017,33.9,ppb,31,San Francisco
01/26/2017,37.5,ppb,35,San Francisco
01/27/2017,35.2,ppb,33,San Francisco
01/28/2017,32.3,ppb,30,San Francisco
01/29/2017,35.9,ppb,33,San Francisco
01/30/2017,45.5,ppb,42,San Francisco
01/31/2017,40.9,ppb,38,San Francisco
02/01/2017,34.0,ppb,32,San Francisco
02/02/2017,23.4,ppb,22,San Francisco
02/03/2017,7.7,ppb,7,San Francisco
02/04/2017,17.6,ppb,16,San Francisco
02/05/2017,17.3,ppb,16,San Francisco
02/06/2017,12.2,ppb,11,San Francisco
02/07/2017,27.9,ppb,25,San Francisco
02/08/2017,25.8,ppb,24,San Francisco
02/09/2017,9.8,ppb,8,San Francisco
02/10/2017,20.3,ppb,19,San Francisco
02/11/2017,24.5,ppb,23,San Francisco
02/12/2017,24.5,ppb,23,San Francisco
02/13/2017,32.8,ppb,30,San Francisco
02/14/2017,33.8,ppb,31,San Francisco
02/15/2017,33.0,ppb,31,San Francisco
02/16/2017,22.9,ppb,21,San Francisco
02/17/2017,22.2,ppb,21,San Francisco
02/18/2017,12.9,ppb,11,San Francisco
02/19/2017,6.1,ppb,6,San Francisco
02/20/2017,14.3,ppb,13,San Francisco
02/21/2017,15.3,ppb,14,San Francisco
02/22/2017,42.7,ppb,40,San Francisco
02/23/2017,29.9,ppb,27,San Francisco
02/24/2017,54.7,ppb,51,San Francisco
02/25/2017,20.0,ppb,19,San Francisco
02/26/2017,23.3,ppb,22,San Francisco
02/27/2017,31.3,ppb,29,San Francisco
02/28/2017,31.0,ppb,29,San Francisco
03/01/2017,37.0,ppb,35,San Francisco
03/02/2017,36.5,ppb,34,San Francisco
03/03/2017,28.2,ppb,26,San Francisco
03/04/2017,8.0,ppb,8,San Francisco
03/05/2017,15.0,ppb,14,San Francisco
03/06/2017,32.8,ppb,30,San Francisco
03/07/2017,53.7,ppb,50,San Francisco
03/08/2017,36.1,ppb,34,San Francisco
03/09/2017,40.5,ppb,38,San Francisco
