Date,Daily_Mean_PM2.5_Concentration,UNITS,DAILY_AQI_VALUE,Site_Name
01/01/2016,12.8,ug/m3 LC,52,San Francisco
01/02/2016,13.2,ug/m3 LC,53,San Francisco
01/03/2016,19.6,ug/m3 LC,67,San Francisco
01/04/2016,17.1,ug/m3 LC,62,San Francisco
01/05/2016,6.5,ug/m3 LC,27,San Francisco
01/06/2016,4.6,ug/m3 LC,19,San Francisco
01/07/2016,9.0,ug/m3 LC,38,San Francisco
01/08/2016,13.9,ug/m3 LC,55,San Francisco
01/09/2016,9.8,ug/m3 LC,41,San Francisco
01/10/2016,9.5,ug/m3 LC,40,San Francisco
01/11/2016,14.0,ug/m3 LC,55,San Francisco
01/12/2016,14.2,ug/m3 LC,55,San Francisco
01/13/2016,9.3,ug/m3 LC,39,San Francisco
01/14/2016,7.7,ug/m3 LC,32,San Francisco
01/15/2016,11.4,ug/m3 LC,48,San Francisco
01/16/2016,7.2,ug/m3 LC,30,San Francisco
01/17/2016,5.5,ug/m3 LC,23,San Francisco
01/18/2016,5.9,ug/m3 LC,25,San Francisco
01/19/2016,8.7,ug/m3 LC,36,San Francisco
01/20/2016,11.4,ug/m3 LC,48,San Francisco
01/21/2016,9.4,ug/m3 LC,39,San Francisco
01/22/2016,1.5,ug/m3 LC,6,San Francisco
01/23/2016,6.2,ug/m3 LC,26,San Francisco
01/24/2016,4.1,ug/m3 LC,17,San Francisco
01/25/2016,5.7,ug/m3 LC,24,San Francisco
01/26/2016,12.3,ug/m3 LC,51,San Francisco
01/27/2016,12.4,ug/m3 LC,52,San Francisco
01/28/2016,15.8,ug/m3 LC,59,San Francisco
01/29/2016,3.5,ug/m3 LC,15,San Francisco
01/30/2016,3.9,ug/m3 LC,16,San Francisco
01/31/2016,4.5,ug/m3 LC,19,San Francisco
02/01/2016,4.7,ug/m3 LC,20,San Francisco
02/02/2016,6.6,ug/m3 LC,28,San Francisco
02/03/2016,8.6,ug/m3 LC,36,San Francisco
02/04/2016,10.7,ug/m3 LC,45,San Francisco
02/05/2016,12.5,ug/m3 LC,52,San Francisco
02/06/2016,12.5,ug/m3 LC,52,San Francisco
02/07/2016,10.9,ug/m3 LC,45,San Francisco
02/08/2016,10.6,ug/m3 LC,44,San Francisco
02/09/2016,19.3,ug/m3 LC,66,San Francisco
02/10/2016,16.5,ug/m3 LC,60,San Francisco
02/11/2016,14.5,ug/m3 LC,56,San Francisco
02/12/2016,9.1,ug/m3 LC,38,San Francisco
02/13/2016,8.9,ug/m3 LC,37,San Francisco
02/14/2016,9.3,ug/m3 LC,39,San Francisco
02/15/2016,5.7,ug/m3 LC,24,San Francisco
02/16/2016,17.0,ug/m3 LC,61,San Francisco
02/17/2016,6.7,ug/m3 LC,28,San Francisco
02/18/2016,6.3,ug/m3 LC,26,San Francisco
02/19/2016,6.0,ug/m3 LC,25,San Francisco
02/20/2016,8.1,ug/m3 LC,34,San Francisco
02/21/2016,6.5,ug/m3 LC,27,San Francisco
