Date,Daily_Max_8-hr_Ozone_Concentration,UNITS,DAILY_AQI_VALUE,Site_Name
01/01/2016,0.032,ppm,30,San Francisco
01/02/2016,0.024,ppm,22,San Francisco
01/03/2016,0.016,ppm,15,San Francisco
01/04/2016,0.03,ppm,28,San Francisco
01/05/2016,0.028999999999999998,ppm,27,San Francisco
01/06/2016,0.035,ppm,32,San Francisco
01/07/2016,0.023,ppm,21,San Francisco
01/08/2016,0.012,ppm,11,San Francisco
01/09/2016,0.025,ppm,23,San Francisco
01/10/2016,0.024,ppm,22,San Francisco
01/11/2016,0.009000000000000001,ppm,8,San Francisco
01/12/2016,0.032,ppm,30,San Francisco
01/13/2016,0.035,ppm,32,San Francisco
01/14/2016,0.036000000000000004,ppm,33,San Francisco
01/15/2016,0.02,ppm,19,San Francisco
01/16/2016,0.017,ppm,16,San Francisco
01/17/2016,0.027000000000000003,ppm,25,San Francisco
01/18/2016,0.024,ppm,22,San Francisco
01/19/2016,0.03,ppm,28,San Francisco
01/20/2016,0.013999999999999999,ppm,13,San Francisco
01/21/2016,0.03,ppm,28,San Francisco
01/22/2016,0.039,ppm,36,San Francisco
01/23/2016,0.037000000000000005,ppm,34,San Francisco
01/24/2016,0.033,ppm,31,San Francisco
01/25/2016,0.023,ppm,21,San Francisco
01/26/2016,0.009000000000000001,ppm,8,San Francisco
01/27/2016,0.018000000000000002,ppm,17,San Francisco
01/28/2016,0.017,ppm,16,San Francisco
01/29/2016,0.036000000000000004,ppm,33,San Francisco
01/30/2016,0.036000000000000004,ppm,33,San Francisco
01/31/2016,0.033,ppm,31,San Francisco
02/01/2016,0.03,ppm,28,San Francisco
02/02/2016,0.024,ppm,22,San Francisco
02/03/2016,0.023,ppm,21,San Francisco
02/04/2016,0.023,ppm,21,San Francisco
02/05/2016,0.019,ppm,18,San Francisco
02/06/2016,0.022000000000000002,ppm,20,San Francisco
02/07/2016,0.021,ppm,19,San Francisco
02/08/2016,0.021,ppm,19,San Francisco
02/09/2016,0.023,ppm,21,San Francisco
02/10/2016,0.02,ppm,19,San Francisco
02/11/2016,0.021,ppm,19,San Francisco
02/12/2016,0.018000000000000002,ppm,17,San Francisco
02/13/2016,0.024,ppm,22,San Francisco
02/14/2016,0.022000000000000002,ppm,20,San Francisco
02/15/2016,0.02,ppm,19,San Francisco
02/16/2016,0.03,ppm,28,San Francisco
02/17/2016,0.040999999999999995,ppm,38,San Francisco
02/18/2016,0.038,ppm,35,San Francisco
02/19/2016,0.037000000000000005,ppm,34,San Francisco
02/20/2016,0.027999999999999997,ppm,26,San Francisco
02/21/2016,0.032,ppm,30,San Francisco
02/22/2016,0.021,ppm,19,San Francisco
02/23/2016,0.025,ppm,23,San Francisco
02/24/2016,0.033,ppm,31,San Francisco
02/25/2016,0.032,ppm,30,San Francisco
02/26/2016,0.028999999999999998,ppm,27,San Francisco
02/27/2016,0.032,ppm,30,San Francisco
02/28/2016,0.026000000000000002,ppm,24,San Francisco
02/29/2016,0.018000000000000002,ppm,17,San Francisco
03/01/2016,0.027999999999999997,ppm,26,San Francisco
03/02/2016,0.026000000000000002,ppm,24,San Francisco
03/03/2016,0.02,ppm,19,San Francisco
03/04/2016,0.024,ppm,22,San Francisco
03/05/2016,0.043,ppm,40,San Francisco
03/06/2016,0.042,ppm,39,San Francisco
03/07/2016,0.033,ppm,31,San Francisco
03/08/2016,0.033,ppm,31,San Francisco
03/09/2016,0.021,ppm,19,San Francisco
03/10/2016,0.027999999999999997,ppm,26,San Francisco
03/11/2016,0.04,ppm,37,San Francisco
03/12/2016,0.039,ppm,36,San Francisco
03/13/2016,0.038,ppm,35,San Francisco
03/14/2016,0.040999999999999995,ppm,38,San Francisco
03/15/2016,0.033,ppm,31,San Francisco
03/16/2016,0.025,ppm,23,San Francisco
03/17/2016,0.032,ppm,30,San Francisco
03/18/2016,0.032,ppm,30,San Francisco
03/19/2016,0.037000000000000005,ppm,34,San Francisco
03/20/2016,0.035,ppm,32,San Francisco
03/21/2016,0.042,ppm,39,San Francisco
03/22/2016,0.034,ppm,31,San Francisco
03/23/2016,0.028999999999999998,ppm,27,San Francisco
03/24/2016,0.03,ppm,28,San Francisco
03/25/2016,0.033,ppm,31,San Francisco
03/26/2016,0.027000000000000003,ppm,25,San Francisco
03/27/2016,0.039,ppm,36,San Francisco
03/28/2016,0.035,ppm,32,San Francisco
03/29/2016,0.031,ppm,29,San Francisco
03/30/2016,0.033,ppm,31,San Francisco
03/31/2016,0.034,ppm,31,San Francisco
04/01/2016,0.035,ppm,32,San Francisco
04/02/2016,0.032,ppm,30,San Francisco
04/03/2016,0.033,ppm,31,San Francisco
04/04/2016,0.03,ppm,28,San Francisco
04/05/2016,0.032,ppm,30,San Francisco
04/06/2016,0.037000000000000005,ppm,34,San Francisco
04/07/2016,0.036000000000000004,ppm,33,San Francisco
04/08/2016,0.028999999999999998,ppm,27,San Francisco
04/09/2016,0.027000000000000003,ppm,25,San Francisco
04/10/2016,0.032,ppm,30,San Francisco
04/11/2016,0.032,ppm,30,San Francisco
04/12/2016,0.04,ppm,37,San Francisco
04/13/2016,0.039,ppm,36,San Francisco
04/14/2016,0.04,ppm,37,San Francisco
04/15/2016,0.033,ppm,31,San Francisco
04/16/2016,0.037000000000000005,ppm,34,San Francisco
04/17/2016,0.047,ppm,44,San Francisco
04/18/2016,0.043,ppm,40,San Francisco
04/19/2016,0.044000000000000004,ppm,41,San Francisco
04/20/2016,0.036000000000000004,ppm,33,San Francisco
04/21/2016,0.034,ppm,31,San Francisco
04/22/2016,0.043,ppm,40,San Francisco
04/23/2016,0.036000000000000004,ppm,33,San Francisco
04/24/2016,0.039,ppm,36,San Francisco
04/25/2016,0.037000000000000005,ppm,34,San Francisco
04/26/2016,0.036000000000000004,ppm,33,San Francisco
04/27/2016,0.04,ppm,37,San Francisco
04/28/2016,0.034,ppm,31,San Francisco
04/29/2016,0.035,ppm,32,San Francisco
04/30/2016,0.037000000000000005,ppm,34,San Francisco
05/01/2016,0.04,ppm,37,San Francisco
05/02/2016,0.034,ppm,31,San Francisco
05/03/2016,0.028999999999999998,ppm,27,San Francisco
05/04/2016,0.035,ppm,32,San Francisco
05/05/2016,0.034,ppm,31,San Francisco
05/06/2016,0.027000000000000003,ppm,25,San Francisco
05/07/2016,0.027000000000000003,ppm,25,San Francisco
05/08/2016,0.033,ppm,31,San Francisco
05/09/2016,0.034,ppm,31,San Francisco
05/11/2016,0.035,ppm,32,San Francisco
05/12/2016,0.036000000000000004,ppm,33,San Francisco
05/13/2016,0.038,ppm,35,San Francisco
05/14/2016,0.03,ppm,28,San Francisco
05/15/2016,0.027999999999999997,ppm,26,San Francisco
05/16/2016,0.028999999999999998,ppm,27,San Francisco
05/17/2016,0.03,ppm,28,San Francisco
05/18/2016,0.033,ppm,31,San Francisco
05/19/2016,0.038,ppm,35,San Francisco
05/20/2016,0.033,ppm,31,San Francisco
05/21/2016,0.035,ppm,32,San Francisco
05/22/2016,0.027999999999999997,ppm,26,San Francisco
05/23/2016,0.026000000000000002,ppm,24,San Francisco
05/24/2016,0.024,ppm,22,San Francisco
05/25/2016,0.031,ppm,29,San Francisco
05/26/2016,0.046,ppm,43,San Francisco
05/27/2016,0.038,ppm,35,San Francisco
05/28/2016,0.043,ppm,40,San Francisco
05/29/2016,0.039,ppm,36,San Francisco
05/30/2016,0.035,ppm,32,San Francisco
05/31/2016,0.028999999999999998,ppm,27,San Francisco
06/01/2016,0.034,ppm,31,San Francisco
06/02/2016,0.027999999999999997,ppm,26,San Francisco
06/03/2016,0.033,ppm,31,San Francisco
06/04/2016,0.03,ppm,28,San Francisco
06/05/2016,0.03,ppm,28,San Francisco
06/06/2016,0.025,ppm,23,San Francisco
06/07/2016,0.026000000000000002,ppm,24,San Francisco
06/08/2016,0.028999999999999998,ppm,27,San Francisco
06/09/2016,0.027000000000000003,ppm,25,San Francisco
06/10/2016,0.032,ppm,30,San Francisco
06/11/2016,0.033,ppm,31,San Francisco
06/12/2016,0.032,ppm,30,San Francisco
06/13/2016,0.034,ppm,31,San Francisco
06/14/2016,0.032,ppm,30,San Francisco
06/15/2016,0.027999999999999997,ppm,26,San Francisco
06/16/2016,0.031,ppm,29,San Francisco
06/17/2016,0.026000000000000002,ppm,24,San Francisco
06/18/2016,0.028999999999999998,ppm,27,San Francisco
06/19/2016,0.036000000000000004,ppm,33,San Francisco
06/20/2016,0.027000000000000003,ppm,25,San Francisco
