Date,Daily_Mean_PM2.5_Concentration,UNITS,DAILY_AQI_VALUE,Site_Name
01/01/2015,13.9,ug/m3 LC,55,San Francisco
01/02/2015,22.6,ug/m3 LC,73,San Francisco
01/03/2015,27.9,ug/m3 LC,84,San Francisco
01/04/2015,28.8,ug/m3 LC,86,San Francisco
01/05/2015,20.6,ug/m3 LC,69,San Francisco
01/06/2015,30.5,ug/m3 LC,90,San Francisco
01/07/2015,21.9,ug/m3 LC,72,San Francisco
01/08/2015,34.3,ug/m3 LC,98,San Francisco
01/09/2015,25.9,ug/m3 LC,80,San Francisco
01/10/2015,14.5,ug/m3 LC,56,San Francisco
01/11/2015,13.6,ug/m3 LC,54,San Francisco
01/12/2015,11.9,ug/m3 LC,50,San Francisco
01/13/2015,9.2,ug/m3 LC,38,San Francisco
01/14/2015,26.5,ug/m3 LC,81,San Francisco
01/15/2015,35.4,ug/m3 LC,100,San Francisco
01/16/2015,32.3,ug/m3 LC,93,San Francisco
01/17/2015,15.0,ug/m3 LC,57,San Francisco
01/18/2015,15.5,ug/m3 LC,58,San Francisco
01/19/2015,11.0,ug/m3 LC,46,San Francisco
01/20/2015,14.1,ug/m3 LC,55,San Francisco
01/21/2015,12.4,ug/m3 LC,52,San Francisco
01/22/2015,17.9,ug/m3 LC,63,San Francisco
01/23/2015,20.5,ug/m3 LC,69,San Francisco
01/24/2015,20.4,ug/m3 LC,68,San Francisco
01/25/2015,19.9,ug/m3 LC,67,San Francisco
01/26/2015,18.3,ug/m3 LC,64,San Francisco
01/27/2015,10.2,ug/m3 LC,43,San Francisco
01/28/2015,31.3,ug/m3 LC,91,San Francisco
01/29/2015,12.7,ug/m3 LC,52,San Francisco
01/30/2015,11.1,ug/m3 LC,46,San Francisco
01/31/2015,8.1,ug/m3 LC,34,San Francisco
02/01/2015,14.8,ug/m3 LC,57,San Francisco
02/02/2015,26.6,ug/m3 LC,81,San Francisco
02/03/2015,16.4,ug/m3 LC,60,San Francisco
02/04/2015,23.0,ug/m3 LC,74,San Francisco
02/05/2015,8.2,ug/m3 LC,34,San Francisco
02/06/2015,3.7,ug/m3 LC,15,San Francisco
02/07/2015,6.2,ug/m3 LC,26,San Francisco
02/08/2015,4.2,ug/m3 LC,18,San Francisco
02/09/2015,10.3,ug/m3 LC,43,San Francisco
02/10/2015,7.0,ug/m3 LC,29,San Francisco
02/11/2015,8.6,ug/m3 LC,36,San Francisco
02/12/2015,9.1,ug/m3 LC,38,San Francisco
02/13/2015,11.8,ug/m3 LC,49,San Francisco
02/14/2015,13.3,ug/m3 LC,54,San Francisco
02/15/2015,10.9,ug/m3 LC,45,San Francisco
02/16/2015,12.2,ug/m3 LC,51,San Francisco
02/17/2015,11.3,ug/m3 LC,47,San Francisco
02/18/2015,9.2,ug/m3 LC,38,San Francisco
02/19/2015,11.5,ug/m3 LC,48,San Francisco
02/20/2015,13.5,ug/m3 LC,54,San Francisco
02/21/2015,10.3,ug/m3 LC,43,San Francisco
02/22/2015,5.9,ug/m3 LC,25,San Francisco
02/23/2015,4.4,ug/m3 LC,18,San Francisco
02/24/2015,6.2,ug/m3 LC,26,San Francisco
02/25/2015,9.8,ug/m3 LC,41,San Francisco
02/26/2015,11.6,ug/m3 LC,48,San Francisco
02/27/2015,3.6,ug/m3 LC,15,San Francisco
02/28/2015,4.1,ug/m3 LC,17,San Francisco
03/01/2015,4.7,ug/m3 LC,20,San Francisco
03/02/2015,7.6,ug/m3 LC,32,San Francisco
03/03/2015,7.9,ug/m3 LC,33,San Francisco
03/04/2015,8.6,ug/m3 LC,36,San Francisco
03/05/2015,8.7,ug/m3 LC,36,San Francisco
03/06/2015,10.4,ug/m3 LC,43,San Francisco
03/07/2015,10.6,ug/m3 LC,44,San Francisco
03/08/2015,11.7,ug/m3 LC,49,San Francisco
03/09/2015,12.9,ug/m3 LC,53,San Francisco
03/10/2015,16.3,ug/m3 LC,60,San Francisco
03/11/2015,9.8,ug/m3 LC,41,San Francisco
