"Date","Source","Site ID","POC","Daily Mean Pb Concentration","UNITS","DAILY_AQI_VALUE","Site Name","DAILY_OBS_COUNT","PERCENT_COMPLETE","AQS_PARAMETER_CODE","AQS_PARAMETER_DESC","CBSA_CODE","CBSA_NAME","STATE_CODE","STATE","COUNTY_CODE","COUNTY","SITE_LATITUDE","SITE_LONGITUDE"
"12/08/2015","AQS","060750005","7","0.0121","ug/m3 SC",".","San Francisco","1","100.0000","12128","Lead (TSP) STP","41860","San Francisco-Oakland-Hayward, CA","06","California","075","San Francisco","37.765946","-122.399044"
"12/20/2015","AQS","060750005","7","0.0013","ug/m3 SC",".","San Francisco","1","100.0000","12128","Lead (TSP) STP","41860","San Francisco-Oakland-Hayward, CA","06","California","075","San Francisco","37.765946","-122.399044"
"03/25/2015","AQS","060812004","3","0.041","ug/m3 LC",".","San Carlos Airport II","1","100.0000","14129","Lead (TSP) LC","41860","San Francisco-Oakland-Hayward, CA","06","California","081","San Mateo","37.508162","-122.246305"
"03/31/2015","AQS","060812004","3","0.005","ug/m3 LC",".","San Carlos Airport II","1","100.0000","14129","Lead (TSP) LC","41860","San Francisco-Oakland-Hayward, CA","06","California","081","San Mateo","37.508162","-122.246305"
"04/06/2015","AQS","060812004","3","0.001","ug/m3 LC",".","San Carlos Airport II","1","100.0000","14129","Lead (TSP) LC","41860","San Francisco-Oakland-Hayward, CA","06","California","081","San Mateo","37.508162","-122.246305"
"04/12/2015","AQS","060812004","3","0.053","ug/m3 LC",".","San Carlos Airport II","1","100.0000","14129","Lead (TSP) LC","41860","San Francisco-Oakland-Hayward, CA","06","California","081","San Mateo","37.508162","-122.246305"
"04/18/2015","AQS","060812004","3","0.029","ug/m3 LC",".","San Carlos Airport II","1","100.0000","14129","Lead (TSP) LC","41860","San Francisco-Oakland-Hayward, CA","06","California","081","San Mateo","37.508162","-122.246305"
"04/24/2015","AQS","060812004","3","0.003","ug/m3 LC",".","San Carlos Airport II","1","100.0000","14129","Lead (TSP) LC","41860","San Francisco-Oakland-Hayward, CA","06","California","081","San Mateo","37.508162","-122.246305"
"04/30/2015","AQS","060812004","3","0.028","ug/m3 LC",".","San Carlos Airport II","1","100.0000","14129","Lead (TSP) LC","41860","San Francisco-Oakland-Hayward, CA","06","California","081","San Mateo","37.508162","-122.246305"
"05/06/2015","AQS","060812004","3","0.004","ug/m3 LC",".","San Carlos Airport II","1","100.0000","14129","Lead (TSP) LC","41860","San Francisco-Oakland-Hayward, CA","06","California","081","San Mateo","37.508162","-122.246305"
"05/12/2015","AQS","060812004","3","0.005","ug/m3 LC",".","San Carlos Airport II","1","100.0000","14129","Lead (TSP) LC","41860","San Francisco-Oakland-Hayward, CA","06","California","081","San Mateo","37.508162","-122.246305"
"05/18/2015","AQS","060812004","3","0.002","ug/m3 LC",".","San Carlos Airport II","1","100.0000","14129","Lead (TSP) LC","41860","San Francisco-Oakland-Hayward, CA","06","California","081","San Mateo","37.508162","-122.246305"
"05/24/2015","AQS","060812004","3","0.005","ug/m3 LC",".","San Carlos Airport II","1","100.0000","14129","Lead (TSP) LC","41860","San Francisco-Oakland-Hayward, CA","06","California","081","San Mateo","37.508162","-122.246305"
"05/30/2015","AQS","060812004","3","0.033","ug/m3 LC",".","San Carlos Airport II","1","100.0000","14129","Lead (TSP) LC","41860","San Francisco-Oakland-Hayward, CA","06","California","081","San Mateo","37.508162","-122.246305"
"06/05/2015","AQS","060812004","3","0.043","ug/m3 LC",".","San Carlos Airport II","1","100.0000","14129","Lead (TSP) LC","41860","San Francisco-Oakland-Hayward, CA","06","California","081","San Mateo","37.508162","-122.246305"
"06/11/2015","AQS","060812004","3","0.037","ug/m3 LC",".","San Carlos Airport II","1","100.0000","14129","Lead (TSP) LC","41860","San Francisco-Oakland-Hayward, CA","06","California","081","San Mateo","37.508162","-122.246305"
"06/17/2015","AQS","060812004","3","0.022","ug/m3 LC",".","San Carlos Airport II","1","100.0000","14129","Lead (TSP) LC","41860","San Francisco-Oakland-Hayward, CA","06","California","081","San Mateo","37.508162","-122.246305"
"06/23/2015","AQS","060812004","3","0.005","ug/m3 LC",".","San Carlos Airport II","1","100.0000","14129","Lead (TSP) LC","41860","San Francisco-Oakland-Hayward, CA","06","California","081","San Mateo","37.508162","-122.246305"
"06/29/2015","AQS","060812004","3","0.023","ug/m3 LC",".","San Carlos Airport II","1","100.0000","14129","Lead (TSP) LC","41860","San Francisco-Oakland-Hayward, CA","06","California","081","San Mateo","37.508162","-122.246305"
"07/05/2015","AQS","060812004","3","0.006","ug/m3 LC",".","San Carlos Airport II","1","100.0000","14129","Lead (TSP) LC","41860","San Francisco-Oakland-Hayward, CA","06","California","081","San Mateo","37.508162","-122.246305"
"07/11/2015","AQS","060812004","3","0.014","ug/m3 LC",".","San Carlos Airport II","1","100.0000","14129","Lead (TSP) LC","41860","San Francisco-Oakland-Hayward, CA","06","California","081","San Mateo","37.508162","-122.246305"
"07/17/2015","AQS","060812004","3","0.058","ug/m3 LC",".","San Carlos Airport II","1","100.0000","14129","Lead (TSP) LC","41860","San Francisco-Oakland-Hayward, CA","06","California","081","San Mateo","37.508162","-122.246305"
"07/23/2015","AQS","060812004","3","0.003","ug/m3 LC",".","San Carlos Airport II","1","100.0000","14129","Lead (TSP) LC","41860","San Francisco-Oakland-Hayward, CA","06","California","081","San Mateo","37.508162","-122.246305"
"07/29/2015","AQS","060812004","3","0.042","ug/m3 LC",".","San Carlos Airport II","1","100.0000","14129","Lead (TSP) LC","41860","San Francisco-Oakland-Hayward, CA","06","California","081","San Mateo","37.508162","-122.246305"
