,index,Name,Lat,Lon,Date
0,13,70 Fire,39.624016999999995,-121.59509299999999,2016-05-29
1,48,70 Fire,39.43351,-121.6051,2016-06-21
2,114,99 Fire,39.6708,-121.7192,2016-08-02
3,69,Appaloosa Fire,38.02845,-120.61153,2016-07-02
4,39,Arroyo Fire,36.2833,-121.3306,2016-06-18
5,18,Athens Fire,38.8390117,-121.3090268,2016-05-17
6,163,Auburn Fire,39.20427,-121.05948000000001,2016-09-17
7,30,Aukum Fire,38.64107,-120.6955,2016-06-03
8,17,Avocado Fire,36.787690000000005,-119.38248,2016-05-15
9,85,Bailey Fire,41.961909999999996,-122.59328000000001,2016-07-19
10,113,Baker Fire,40.19611,-122.26736000000001,2016-08-03
11,88,Baker Fire,37.98171,-120.64241000000001,2016-07-21
12,169,Bangor Fire,39.4403,-121.42647,2016-09-22
13,141,Beale Fire,36.16965,-121.38775,2016-08-18
14,171,Bell Fire,38.5212,-120.8416,2016-09-23
15,58,Big Fire,36.92244,-119.39618999999999,2016-07-11
16,147,Bird Fire,37.62215,-121.36665,2016-08-20
17,129,Blue Cut Fire,34.30372,-117.49342,2016-08-16
18,38,Border Fire,32.60729,-116.63028,2016-06-19
19,136,Boys Fire,38.558,-121.1309,2016-09-11
20,93,Bradley Fire,35.85093,-120.81081,2016-07-22
21,72,Broken Fire,37.256009999999996,-119.65776000000001,2016-07-04
22,15,Bryson Fire,35.8378273,-121.0381507,2016-05-12
23,170,Butte Fire,39.188321,-121.78003000000001,2016-09-20
24,37,Camanche Fire,38.26874,-120.90265,2016-06-17
25,27,Campo Fire,38.22017,-120.8678,2016-06-27
26,166,Canyon Fire,34.63445,-120.54421,2016-09-17
27,134,Cedar Fire,35.7506,-118.5678,2016-08-16
28,132,Chimney Fire,35.70595,-120.98316000000001,2016-08-13
29,23,Chimney Fire,35.84883,-118.08591000000001,2016-06-01
30,32,Clay Fire,38.3131,-121.06452,2016-06-03
31,133,Clayton Fire,38.89741,-122.60663999999998,2016-08-13
32,25,Coal Fire,39.595,-121.6008,2016-06-20
33,10,Coe Fire,37.17072,-121.42238,2016-06-07
34,115,Cold Fire,38.52513,-122.06788,2016-08-02
35,34,Coleman Fire,36.01542,-121.25028999999999,2016-06-04
36,63,Colyear Fire,40.0353,-122.56938999999998,2016-06-30
37,41,Cotton Fire,35.77135,-120.251,2016-06-11
38,174,Cow Fire,40.0,-121.93923000000001,2016-09-25
39,0,Creek Fire,38.40958,-122.43172,2016-10-10
40,47,Creek Fire,38.699709999999996,-122.15456999999999,2016-06-26
41,67,Curry Fire,36.0749,-120.452041,2016-07-01
42,8,DeWolf Fire,36.88286,-119.654,2016-05-25
43,119,Deer Fire,38.2581,-120.8657,2016-08-05
44,64,Deer Fire,35.20993,-118.72272,2016-07-01
45,51,Dinosaur Fire,37.07147,-121.20155,2016-06-25
46,78,Dunnigan Fire,38.8866,-122.04726000000001,2016-07-15
47,12,Dunstone Fire,39.33035,-121.78973,2016-05-27
48,179,Emerald Fire,38.934490000000004,-120.10744,2016-10-14
49,49,Erskine Fire,35.6115,-118.45628,2016-06-23
50,81,Famoso Fire,35.607479999999995,-118.94811000000001,2016-07-15
51,83,Feather Fire,32.9612,-116.7945,2016-07-18
52,62,Fiddler Fire,40.36873,-122.72913,2016-07-08
53,66,Flores Fire,40.07846,-122.2071,2016-07-01
54,84,Foothill Fire,39.0863,-122.7891,2016-07-19
55,107,Fork Fire,37.24006,-119.4741,2016-07-29
56,61,Fort Fire,34.913000000000004,-118.9082,2016-07-08
57,71,Frame Fire,36.14161,-120.62048,2016-07-04
58,104,Franklin Fire,38.012640000000005,-122.1885,2016-07-24
59,26,Frazier Fire,35.70821,-120.82266000000001,2016-06-27
60,110,Frymire Fire,37.81434,-120.69521,2016-07-30
61,146,Gap Fire,41.851000000000006,-123.118,2016-08-27
62,87,Goose Fire,37.01591,-119.50506999999999,2016-07-30
63,112,Gopher Fire,33.22558,-117.14546999999999,2016-08-10
64,180,Gopher Fire,33.254355,-117.158475,2016-11-13
65,2,Gorman Fire,34.6888731,-118.78925929999998,2016-04-19
66,154,Grade Fire,41.7813,-122.611,2016-08-24
67,53,Grant Fire,37.74369,-121.58677,2016-06-25
68,82,Green Fire,37.0099,-119.5792,2016-07-15
69,118,Grub Fire,37.3228,-119.7738,2016-08-04
70,116,Hart Fire,35.24504,-118.60343999999999,2016-08-04
71,145,Havilah Fire,35.4976,-118.5097,2016-08-28
72,31,Hidden Fire,36.80296,-121.40303999999999,2016-06-03
73,40,Hoag Fire,39.7947,-121.85700000000001,2016-06-11
74,161,Hog Fire,40.30594,-122.1295,2016-09-13
75,95,Holy Fire,33.6542,-117.5221,2016-08-31
76,155,Howard Fire,41.4657,-120.9066,2016-09-11
