,index,Name,Lat,Lon,Date
0,163,166 Fire,34.93442,-119.5795,2020-08-03
1,250,257 Fire,41.4435,-120.87053999999999,2020-11-17
2,194,3-19 Fire,39.275999999999996,-123.013667,2020-08-18
3,181,3-2 Fire,35.519723,-120.801074,2020-08-16
4,187,4-8 Fire,39.555943,-122.50124609999999,2020-08-17
5,84,58 Fire,33.27665,-115.96593999999999,2020-06-24
6,17,Acres Fire,37.11715,-119.982359,2020-05-21
7,23,Acres Fire,37.11806,-119.93221000000001,2020-06-01
8,140,Adams Fire,39.922415,-120.02587199999999,2020-07-27
9,252,Airport Fire,33.893351,-117.62109,2020-12-01
10,113,Alum Fire,37.377309999999994,-121.79348999999999,2020-07-11
11,24,Amoruso Fire,38.824371,-121.39086200000001,2020-06-01
12,1,Antelope Fire,39.6923001,-120.3291855,2020-02-17
13,150,Apple Fire,33.99139,-116.9617,2020-07-31
14,184,August Complex (includes Doe Fire),39.775999999999996,-122.67299999999999,2020-08-16
15,87,Aurora Fire,38.22554,-119.00289,2020-06-26
16,93,Avacado Fire,39.3784,-121.4319,2020-06-30
17,60,Avila Fire,35.17977,-120.69958999999999,2020-06-15
18,124,Badger Fire,41.79319,-122.69296000000001,2020-07-18
19,68,Baker Fire,35.27678,-118.6894,2020-06-17
20,7,Baker Fire,39.45493,-121.12381,2020-03-03
21,11,Bar Fire,40.63442,-122.97693000000001,2020-04-25
22,4,Baseball Fire,39.75638899,-122.94111111,2020-02-25
23,186,Beach Fire ,37.919382,-119.010655,2020-08-17
24,160,Beale Fire,39.11307,-121.38178,2020-08-02
25,0,Bear Fire ,40.511092,-123.63784109999999,2020-02-15
26,2,Beegum Fire,40.33583333,-122.84722222,2020-02-23
27,192,Bell Fire,38.183,-119.869,2020-08-18
28,120,Ben Fire,37.423190000000005,-119.95806999999999,2020-07-15
29,95,Bena Fire,35.310132,-118.70273200000001,2020-07-01
30,86,Bend Fire,35.30742,-119.88048,2020-06-25
31,61,Bitter Fire ,36.3011,-120.92925,2020-06-16
32,38,Bitterwater Fire,36.2644,-121.0781,2020-06-07
33,247,Blue Ridge Fire ,33.877257,-117.675067,2020-10-26
34,97,Bonadelle Fire,36.967854200000005,-119.9252132,2020-07-02
35,254,Bond Fire,33.743842,-117.674967,2020-12-02
36,143,Border 11 Fire,32.62212,-116.77048,2020-07-28
37,52,Border 7 Fire,32.580882,-116.690712,2020-06-11
38,42,Bradley Fire ,35.94979,-120.81508999999998,2020-06-08
39,144,Branch Fire,35.351459999999996,-120.00521,2020-07-28
40,110,Brandon Fire,38.58488,-120.941267,2020-07-07
41,30,Brock Fire,40.837885,-122.09793300000001,2020-06-04
42,145,Brook Fire,34.25143,-117.45478999999999,2020-07-29
43,237,Bruder Fire,34.014728000000005,-117.13807800000001,2020-10-15
44,223,Bullfrog Fire,37.135474,-119.027309,2020-09-12
45,198,Butte/Tehama/Glenn Lightning Complex (Tehama/Glenn Zone) ,40.09571,-122.4393,2020-08-19
46,12,Byron Fire,37.82066,-121.595225,2020-04-27
47,190,CZU Lightning Complex (Including Warnella Fire) ,37.171620000000004,-122.22275,2020-08-16
48,107,California Fire,38.029959999999996,-122.25471,2020-07-06
49,238,Cameron Fire,38.659387,-120.964726,2020-10-18
50,15,Candy Fire,39.42208,-121.47273,2020-05-08
51,230,Candy Fire,33.764357000000004,-117.37441899999999,2020-09-29
52,193,Carmel Fire,36.4463,-121.68181000000001,2020-08-18
53,173,Carrizo Fire,35.308259,-119.98756499999999,2020-08-12
54,9,Carter Fire ,32.93432,-115.5865,2020-04-04
55,117,Casino Fire,33.48429,-116.83551999999999,2020-07-13
56,153,Castaic Fire,34.51853,-118.59698999999999,2020-08-01
57,213,Catholic Fire,39.012743,-122.637037,2020-09-01
58,253,Cerritos Fire,33.773754,-117.05146299999998,2020-12-03
59,177,Clark Fire,39.647686,-121.633994,2020-08-14
60,146,Clay Fire,38.403290000000005,-121.17197,2020-07-29
61,31,Colleen Fire,37.229703,-121.851895,2020-06-04
62,231,Copper Fire ,38.49375,-121.003602,2020-09-30
63,257,Cornell Fire,34.336220000000004,-119.07799999999999,2020-12-07
64,56,Cornetts Fire,37.40827,-120.08521999999999,2020-06-13
65,103,Cotton Fire,37.091637,-121.086625,2020-07-05
66,139,Cottonwood Fire,37.083806,-121.101634,2020-07-27
67,151,Cowhead Fire,41.52261,-120.17183,2020-07-31
68,202,Coyote Fire,37.18725,-121.68465,2020-08-21
69,119,Coyote Fire,36.653,-121.04401000000001,2020-07-15
70,196,Creek Fire,39.8174372,-123.2111007,2020-08-18
71,214,Creek Fire,37.19147,-119.261175,2020-09-04
72,259,Creek Fire,33.40047,-117.25023,2020-12-23
74,105,Crews Fire,37.034839,-121.50153200000001,2020-07-05
75,45,Cronan Fire ,38.827754999999996,-120.988571,2020-06-09
76,248,Cypress Fire,34.033429999999996,-117.51476000000001,2020-11-01
77,148,Dam Fire,34.173629999999996,-117.889503,2020-07-30
78,57,Dawson Fire ,33.776033,-117.461925,2020-06-13
79,243,Dersch Fire,40.476459999999996,-122.18101999999999,2020-10-25
80,85,Diablo Fire,37.46265,-121.18355,2020-06-25
81,236,Diamond Fire,37.98337,-120.64541000000001,2020-10-13
82,59,Drum Fire,34.63309,-120.28867,2020-06-14
83,169,Duluth Fire,38.81111,-121.318472,2020-08-10
84,74,East Fire,41.5017,-120.54161,2020-06-20
85,131,Easton Fire,34.135626,-117.19214199999999,2020-07-20
86,215,El Dorado Fire,34.08056,-116.98669,2020-09-05
87,48,Elizabeth Fire,34.29475,-119.17808000000001,2020-06-10
88,182,Elk Fire,39.52452,-122.42735800000001,2020-08-16
89,115,Elliot Fire,33.623968,-117.10842099999999,2020-07-13
90,161,Elsmere Fire,34.3428,-118.49731000000001,2020-08-03
