"Date","Source","Site ID","POC","Daily Mean Pb Concentration","UNITS","DAILY_AQI_VALUE","Site Name","DAILY_OBS_COUNT","PERCENT_COMPLETE","AQS_PARAMETER_CODE","AQS_PARAMETER_DESC","CBSA_CODE","CBSA_NAME","STATE_CODE","STATE","COUNTY_CODE","COUNTY","SITE_LATITUDE","SITE_LONGITUDE"
"01/31/2017","AQS","060750005","7","0.011","ug/m3 SC",".","San Francisco","1","100.0000","12128","Lead (TSP) STP","41860","San Francisco-Oakland-Hayward, CA","06","California","075","San Francisco","37.765946","-122.399044"
"02/06/2017","AQS","060750005","7","0.0006","ug/m3 SC",".","San Francisco","1","100.0000","12128","Lead (TSP) STP","41860","San Francisco-Oakland-Hayward, CA","06","California","075","San Francisco","37.765946","-122.399044"
"02/12/2017","AQS","060750005","7","0.004","ug/m3 SC",".","San Francisco","1","100.0000","12128","Lead (TSP) STP","41860","San Francisco-Oakland-Hayward, CA","06","California","075","San Francisco","37.765946","-122.399044"
"03/05/2017","AQS","060750005","7","0.0015","ug/m3 SC",".","San Francisco","1","100.0000","12128","Lead (TSP) STP","41860","San Francisco-Oakland-Hayward, CA","06","California","075","San Francisco","37.765946","-122.399044"
"03/08/2017","AQS","060750005","7","0.0135","ug/m3 SC",".","San Francisco","1","100.0000","12128","Lead (TSP) STP","41860","San Francisco-Oakland-Hayward, CA","06","California","075","San Francisco","37.765946","-122.399044"
"03/20/2017","AQS","060750005","7","0.0093","ug/m3 SC",".","San Francisco","1","100.0000","12128","Lead (TSP) STP","41860","San Francisco-Oakland-Hayward, CA","06","California","075","San Francisco","37.765946","-122.399044"
"05/02/2017","AQS","060750005","7","0.0049","ug/m3 SC",".","San Francisco","1","100.0000","12128","Lead (TSP) STP","41860","San Francisco-Oakland-Hayward, CA","06","California","075","San Francisco","37.765946","-122.399044"
"05/07/2017","AQS","060750005","7","0.0013","ug/m3 SC",".","San Francisco","1","100.0000","12128","Lead (TSP) STP","41860","San Francisco-Oakland-Hayward, CA","06","California","075","San Francisco","37.765946","-122.399044"
"05/31/2017","AQS","060750005","7","0.003","ug/m3 SC",".","San Francisco","1","100.0000","12128","Lead (TSP) STP","41860","San Francisco-Oakland-Hayward, CA","06","California","075","San Francisco","37.765946","-122.399044"
"06/06/2017","AQS","060750005","7","0.0016","ug/m3 SC",".","San Francisco","1","100.0000","12128","Lead (TSP) STP","41860","San Francisco-Oakland-Hayward, CA","06","California","075","San Francisco","37.765946","-122.399044"
"06/13/2017","AQS","060750005","7","0.0057","ug/m3 SC",".","San Francisco","1","100.0000","12128","Lead (TSP) STP","41860","San Francisco-Oakland-Hayward, CA","06","California","075","San Francisco","37.765946","-122.399044"
"06/24/2017","AQS","060750005","7","0.0006","ug/m3 SC",".","San Francisco","1","100.0000","12128","Lead (TSP) STP","41860","San Francisco-Oakland-Hayward, CA","06","California","075","San Francisco","37.765946","-122.399044"
"07/06/2017","AQS","060750005","7","0.0239","ug/m3 SC",".","San Francisco","1","100.0000","12128","Lead (TSP) STP","41860","San Francisco-Oakland-Hayward, CA","06","California","075","San Francisco","37.765946","-122.399044"
"07/18/2017","AQS","060750005","7","0.0006","ug/m3 SC",".","San Francisco","1","100.0000","12128","Lead (TSP) STP","41860","San Francisco-Oakland-Hayward, CA","06","California","075","San Francisco","37.765946","-122.399044"
"07/30/2017","AQS","060750005","7","0.0006","ug/m3 SC",".","San Francisco","1","100.0000","12128","Lead (TSP) STP","41860","San Francisco-Oakland-Hayward, CA","06","California","075","San Francisco","37.765946","-122.399044"
"08/11/2017","AQS","060750005","7","0.0102","ug/m3 SC",".","San Francisco","1","100.0000","12128","Lead (TSP) STP","41860","San Francisco-Oakland-Hayward, CA","06","California","075","San Francisco","37.765946","-122.399044"
"08/23/2017","AQS","060750005","7","0.0039","ug/m3 SC",".","San Francisco","1","100.0000","12128","Lead (TSP) STP","41860","San Francisco-Oakland-Hayward, CA","06","California","075","San Francisco","37.765946","-122.399044"
"09/04/2017","AQS","060750005","7","0.0033","ug/m3 SC",".","San Francisco","1","100.0000","12128","Lead (TSP) STP","41860","San Francisco-Oakland-Hayward, CA","06","California","075","San Francisco","37.765946","-122.399044"
"09/16/2017","AQS","060750005","7","0.0006","ug/m3 SC",".","San Francisco","1","100.0000","12128","Lead (TSP) STP","41860","San Francisco-Oakland-Hayward, CA","06","California","075","San Francisco","37.765946","-122.399044"
"09/28/2017","AQS","060750005","7","0.0113","ug/m3 SC",".","San Francisco","1","100.0000","12128","Lead (TSP) STP","41860","San Francisco-Oakland-Hayward, CA","06","California","075","San Francisco","37.765946","-122.399044"
"10/10/2017","AQS","060750005","7","0.0703","ug/m3 SC",".","San Francisco","1","100.0000","12128","Lead (TSP) STP","41860","San Francisco-Oakland-Hayward, CA","06","California","075","San Francisco","37.765946","-122.399044"
"10/22/2017","AQS","060750005","7","0.0031","ug/m3 SC",".","San Francisco","1","100.0000","12128","Lead (TSP) STP","41860","San Francisco-Oakland-Hayward, CA","06","California","075","San Francisco","37.765946","-122.399044"
"11/03/2017","AQS","060750005","7","0.0062","ug/m3 SC",".","San Francisco","1","100.0000","12128","Lead (TSP) STP","41860","San Francisco-Oakland-Hayward, CA","06","California","075","San Francisco","37.765946","-122.399044"
"11/15/2017","AQS","060750005","7","0.0024","ug/m3 SC",".","San Francisco","1","100.0000","12128","Lead (TSP) STP","41860","San Francisco-Oakland-Hayward, CA","06","California","075","San Francisco","37.765946","-122.399044"
"11/27/2017","AQS","060750005","7","0.0017","ug/m3 SC",".","San Francisco","1","100.0000","12128","Lead (TSP) STP","41860","San Francisco-Oakland-Hayward, CA","06","California","075","San Francisco","37.765946","-122.399044"
"12/09/2017","AQS","060750005","7","0.007","ug/m3 SC",".","San Francisco","1","100.0000","12128","Lead (TSP) STP","41860","San Francisco-Oakland-Hayward, CA","06","California","075","San Francisco","37.765946","-122.399044"
"12/21/2017","AQS","060750005","7","0.0043","ug/m3 SC",".","San Francisco","1","100.0000","12128","Lead (TSP) STP","41860","San Francisco-Oakland-Hayward, CA","06","California","075","San Francisco","37.765946","-122.399044"
"01/01/2017","AQS","060812004","3","0.002","ug/m3 LC",".","San Carlos Airport II","1","100.0000","14129","Lead (TSP) LC","41860","San Francisco-Oakland-Hayward, CA","06","California","081","San Mateo","37.508162","-122.246305"
"01/07/2017","AQS","060812004","3","0.003","ug/m3 LC",".","San Carlos Airport II","1","100.0000","14129","Lead (TSP) LC","41860","San Francisco-Oakland-Hayward, CA","06","California","081","San Mateo","37.508162","-122.246305"
"01/13/2017","AQS","060812004","3","0.037","ug/m3 LC",".","San Carlos Airport II","1","100.0000","14129","Lead (TSP) LC","41860","San Francisco-Oakland-Hayward, CA","06","California","081","San Mateo","37.508162","-122.246305"
"01/19/2017","AQS","060812004","3","0.001","ug/m3 LC",".","San Carlos Airport II","1","100.0000","14129","Lead (TSP) LC","41860","San Francisco-Oakland-Hayward, CA","06","California","081","San Mateo","37.508162","-122.246305"
"01/25/2017","AQS","060812004","3","0.008","ug/m3 LC",".","San Carlos Airport II","1","100.0000","14129","Lead (TSP) LC","41860","San Francisco-Oakland-Hayward, CA","06","California","081","San Mateo","37.508162","-122.246305"
"01/31/2017","AQS","060812004","3","0.032","ug/m3 LC",".","San Carlos Airport II","1","100.0000","14129","Lead (TSP) LC","41860","San Francisco-Oakland-Hayward, CA","06","California","081","San Mateo","37.508162","-122.246305"
"02/06/2017","AQS","060812004","3","0.001","ug/m3 LC",".","San Carlos Airport II","1","100.0000","14129","Lead (TSP) LC","41860","San Francisco-Oakland-Hayward, CA","06","California","081","San Mateo","37.508162","-122.246305"
"02/12/2017","AQS","060812004","3","0.038","ug/m3 LC",".","San Carlos Airport II","1","100.0000","14129","Lead (TSP) LC","41860","San Francisco-Oakland-Hayward, CA","06","California","081","San Mateo","37.508162","-122.246305"
"02/24/2017","AQS","060812004","3","0.005","ug/m3 LC",".","San Carlos Airport II","1","100.0000","14129","Lead (TSP) LC","41860","San Francisco-Oakland-Hayward, CA","06","California","081","San Mateo","37.508162","-122.246305"
