Date,Daily_Max_1-hr_NO2_Concentration,UNITS,DAILY_AQI_VALUE,Site_Name
02/11/2018,31.1,ppb,29,San Francisco
02/12/2018,21.2,ppb,20,San Francisco
02/13/2018,42.3,ppb,40,San Francisco
02/14/2018,50.6,ppb,47,San Francisco
02/15/2018,48.2,ppb,45,San Francisco
02/16/2018,41.8,ppb,39,San Francisco
02/17/2018,34.5,ppb,32,San Francisco
02/18/2018,5.8,ppb,5,San Francisco
02/19/2018,8.0,ppb,8,San Francisco
02/20/2018,28.8,ppb,26,San Francisco
02/21/2018,34.8,ppb,32,San Francisco
02/22/2018,10.5,ppb,9,San Francisco
02/23/2018,49.3,ppb,46,San Francisco
02/24/2018,32.8,ppb,30,San Francisco
02/25/2018,27.8,ppb,25,San Francisco
02/26/2018,14.2,ppb,13,San Francisco
02/27/2018,26.0,ppb,25,San Francisco
02/28/2018,24.9,ppb,23,San Francisco
03/01/2018,11.4,ppb,10,San Francisco
03/02/2018,36.3,ppb,34,San Francisco
03/03/2018,26.2,ppb,25,San Francisco
03/04/2018,28.1,ppb,26,San Francisco
03/05/2018,32.2,ppb,30,San Francisco
03/06/2018,59.4,ppb,56,San Francisco
03/07/2018,44.1,ppb,42,San Francisco
03/08/2018,29.4,ppb,27,San Francisco
03/09/2018,29.2,ppb,27,San Francisco
03/10/2018,23.7,ppb,22,San Francisco
03/11/2018,18.7,ppb,17,San Francisco
03/12/2018,33.8,ppb,31,San Francisco
03/13/2018,14.2,ppb,13,San Francisco
03/14/2018,37.4,ppb,35,San Francisco
03/15/2018,60.2,ppb,57,San Francisco
03/16/2018,42.4,ppb,40,San Francisco
03/17/2018,46.1,ppb,43,San Francisco
03/18/2018,34.5,ppb,32,San Francisco
03/19/2018,28.9,ppb,26,San Francisco
03/20/2018,39.8,ppb,37,San Francisco
03/21/2018,26.2,ppb,25,San Francisco
03/22/2018,10.9,ppb,9,San Francisco
03/23/2018,45.5,ppb,42,San Francisco
03/24/2018,18.8,ppb,17,San Francisco
03/25/2018,25.7,ppb,24,San Francisco
03/26/2018,39.8,ppb,37,San Francisco
03/27/2018,43.8,ppb,41,San Francisco
03/28/2018,31.7,ppb,29,San Francisco
03/29/2018,42.6,ppb,40,San Francisco
03/30/2018,38.5,ppb,36,San Francisco
03/31/2018,14.3,ppb,13,San Francisco
04/01/2018,15.0,ppb,14,San Francisco
04/02/2018,14.4,ppb,13,San Francisco
04/03/2018,21.4,ppb,20,San Francisco
04/04/2018,14.0,ppb,13,San Francisco
04/05/2018,16.6,ppb,15,San Francisco
04/06/2018,13.2,ppb,12,San Francisco
04/07/2018,8.3,ppb,8,San Francisco
04/08/2018,25.7,ppb,24,San Francisco
04/09/2018,41.9,ppb,39,San Francisco
04/10/2018,23.2,ppb,22,San Francisco
04/11/2018,12.1,ppb,11,San Francisco
04/12/2018,16.8,ppb,15,San Francisco
04/13/2018,24.3,ppb,23,San Francisco
04/14/2018,30.1,ppb,28,San Francisco
04/15/2018,6.0,ppb,6,San Francisco
04/16/2018,29.3,ppb,27,San Francisco
04/17/2018,36.8,ppb,34,San Francisco
04/18/2018,33.9,ppb,31,San Francisco
04/19/2018,46.1,ppb,43,San Francisco
04/20/2018,36.5,ppb,34,San Francisco
04/21/2018,18.2,ppb,17,San Francisco
04/22/2018,19.6,ppb,18,San Francisco
04/23/2018,26.1,ppb,25,San Francisco
04/24/2018,21.3,ppb,20,San Francisco
04/25/2018,17.3,ppb,16,San Francisco
04/26/2018,16.5,ppb,15,San Francisco
04/27/2018,10.8,ppb,9,San Francisco
04/28/2018,11.8,ppb,10,San Francisco
04/29/2018,5.9,ppb,5,San Francisco
04/30/2018,20.8,ppb,19,San Francisco
05/01/2018,22.2,ppb,21,San Francisco
05/02/2018,31.0,ppb,29,San Francisco
05/03/2018,13.7,ppb,12,San Francisco
05/04/2018,12.6,ppb,11,San Francisco
05/05/2018,6.5,ppb,6,San Francisco
05/06/2018,6.8,ppb,6,San Francisco
05/07/2018,41.4,ppb,39,San Francisco
05/08/2018,19.7,ppb,18,San Francisco
05/09/2018,10.2,ppb,9,San Francisco
05/11/2018,25.6,ppb,24,San Francisco
05/12/2018,20.1,ppb,19,San Francisco
05/13/2018,5.0,ppb,5,San Francisco
05/14/2018,9.3,ppb,8,San Francisco
05/15/2018,11.6,ppb,10,San Francisco
05/16/2018,14.0,ppb,13,San Francisco
05/17/2018,11.5,ppb,10,San Francisco
05/18/2018,6.8,ppb,6,San Francisco
05/19/2018,3.7,ppb,3,San Francisco
05/20/2018,6.5,ppb,6,San Francisco
05/21/2018,18.4,ppb,17,San Francisco
05/22/2018,10.1,ppb,9,San Francisco
05/23/2018,13.3,ppb,12,San Francisco
05/24/2018,14.8,ppb,13,San Francisco
